epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.932,1.70343,2.77451,1.78903,0.83409,0.4368,0.53705,0.24141,1.79962,2.52955,1.99391,0.000412913,0.000412913,0.000412913
2,290.036,1.6887,1.7695,1.75674,0.77052,0.4888,0.51496,0.22916,1.98788,2.11486,2.23984,0.000813154,0.000813154,0.000813154
3,444.315,1.69331,1.6649,1.73889,0.56973,0.59663,0.59543,0.29294,1.82487,1.81113,2.02268,0.00119689,0.00119689,0.00119689
4,622.665,1.71652,1.62832,1.7503,0.77317,0.47768,0.51626,0.25682,1.82597,1.89033,2.06261,0.00117575,0.00117575,0.00117575
5,796.667,1.65998,1.51199,1.69856,0.64171,0.56954,0.59368,0.29141,1.85019,1.67371,2.01446,0.001151,0.001151,0.001151
