epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1193.65,1.05884,0.72362,1.17264,0.86913,0.76852,0.85161,0.57141,1.04917,0.63711,1.18439,0.000848969,0.000848969,0.000848969
43,1221.78,1.04344,0.71398,1.1735,0.87482,0.77235,0.85031,0.56971,1.04082,0.62208,1.17978,0.000834822,0.000834822,0.000834822
44,1250.18,1.03865,0.70444,1.1585,0.86296,0.78673,0.85945,0.57707,1.04026,0.62708,1.17761,0.000820675,0.000820675,0.000820675
45,1278.46,1.04825,0.71398,1.16283,0.87761,0.78543,0.86134,0.57094,1.04099,0.61238,1.17852,0.000806528,0.000806528,0.000806528
46,1306.57,1.04248,0.69893,1.15819,0.85893,0.78386,0.8556,0.57168,1.04487,0.63159,1.17302,0.00079238,0.00079238,0.00079238
47,1334.79,1.02998,0.6967,1.15476,0.86891,0.77565,0.85529,0.56938,1.05795,0.62857,1.18492,0.000778233,0.000778233,0.000778233
48,1362.91,1.03271,0.69009,1.1555,0.87179,0.78639,0.85991,0.57685,1.03908,0.61207,1.17349,0.000764086,0.000764086,0.000764086
49,1390.92,1.02431,0.68673,1.1467,0.86487,0.77441,0.85432,0.57282,1.05066,0.62431,1.18054,0.000749939,0.000749939,0.000749939
50,1419.11,1.01814,0.68075,1.14507,0.87934,0.78379,0.85583,0.57762,1.03556,0.61612,1.17534,0.000735792,0.000735792,0.000735792
51,1447.33,1.01585,0.6736,1.1501,0.86887,0.79553,0.86177,0.57906,1.02441,0.61179,1.16605,0.000721645,0.000721645,0.000721645
52,1475.57,1.01262,0.68015,1.14574,0.88051,0.78735,0.86097,0.5813,1.03136,0.60615,1.16873,0.000707498,0.000707498,0.000707498
53,1503.49,1.00747,0.66338,1.1396,0.8857,0.79105,0.86438,0.58444,1.02516,0.59333,1.16215,0.000693351,0.000693351,0.000693351
54,1531.69,1.00033,0.65271,1.13576,0.8906,0.79329,0.86518,0.583,1.02715,0.58323,1.162,0.000679204,0.000679204,0.000679204
55,1559.78,1.01779,0.66226,1.14734,0.88205,0.79709,0.86551,0.58399,1.02433,0.59995,1.16213,0.000665057,0.000665057,0.000665057
56,1588.03,1.01798,0.65832,1.13998,0.8754,0.78745,0.85509,0.57729,1.02193,0.61192,1.16021,0.000650909,0.000650909,0.000650909
57,1616.41,1.00193,0.65202,1.13148,0.87659,0.78662,0.85833,0.57887,1.02487,0.61193,1.16067,0.000636762,0.000636762,0.000636762
58,1644.76,0.99905,0.64419,1.12962,0.87255,0.77697,0.8563,0.58096,1.03015,0.60803,1.16177,0.000622615,0.000622615,0.000622615
59,1673.03,1.0146,0.64813,1.14143,0.89298,0.79368,0.86964,0.59173,1.01473,0.58681,1.15316,0.000608468,0.000608468,0.000608468
60,1701.51,1.0057,0.6495,1.13704,0.87916,0.79354,0.86911,0.58709,1.0156,0.59382,1.15642,0.000594321,0.000594321,0.000594321
61,1729.69,0.98829,0.63969,1.13337,0.90192,0.80144,0.87614,0.59743,1.00937,0.57169,1.15485,0.000580174,0.000580174,0.000580174
62,1757.76,0.98842,0.63425,1.13002,0.88966,0.79775,0.87267,0.59524,1.01146,0.58043,1.15116,0.000566027,0.000566027,0.000566027
63,1785.85,0.98457,0.62295,1.12306,0.88469,0.79839,0.86591,0.59364,1.00019,0.57625,1.14548,0.00055188,0.00055188,0.00055188
64,1813.78,0.99313,0.63314,1.13142,0.88127,0.79802,0.86548,0.59094,1.00738,0.58752,1.14957,0.000537733,0.000537733,0.000537733
65,1841.97,0.98478,0.62628,1.13044,0.87633,0.8034,0.87146,0.59533,1.00151,0.58133,1.14656,0.000523586,0.000523586,0.000523586
66,1869.98,0.98774,0.61638,1.12248,0.87666,0.79853,0.86581,0.59424,1.00199,0.59134,1.14802,0.000509438,0.000509438,0.000509438
67,1897.95,0.98568,0.6206,1.12267,0.86239,0.81186,0.86596,0.59246,1.0039,0.58383,1.14603,0.000495291,0.000495291,0.000495291
68,1925.75,0.9722,0.60681,1.11903,0.88498,0.8072,0.8755,0.60401,0.99468,0.56778,1.13842,0.000481144,0.000481144,0.000481144
69,1953.95,0.96249,0.60638,1.11684,0.8826,0.81119,0.87418,0.59619,0.99902,0.5664,1.1456,0.000466997,0.000466997,0.000466997
70,1982.39,0.9759,0.60372,1.12117,0.87621,0.80484,0.86999,0.59792,0.99368,0.56528,1.14122,0.00045285,0.00045285,0.00045285
71,2010.31,0.96598,0.6031,1.11577,0.88975,0.79621,0.87134,0.60103,0.99026,0.57083,1.13808,0.000438703,0.000438703,0.000438703
72,2038.56,0.96381,0.60153,1.11631,0.89247,0.79668,0.86269,0.5948,0.99384,0.5738,1.14218,0.000424556,0.000424556,0.000424556
73,2066.75,0.96358,0.59292,1.10762,0.87748,0.81018,0.87305,0.60176,0.98886,0.56084,1.13833,0.000410409,0.000410409,0.000410409
74,2094.7,0.95917,0.59407,1.10572,0.89868,0.80211,0.87495,0.60777,0.97949,0.5591,1.12829,0.000396262,0.000396262,0.000396262
75,2122.56,0.94291,0.5806,1.09612,0.88202,0.81377,0.87956,0.60959,0.98284,0.55133,1.12765,0.000382115,0.000382115,0.000382115
